TOT_SEZIO,SEE_TMAS,SEE_TFEM,SEE_TISCRI,idComune
6,3121,3136,6257,100
2,1091,1217,2308,101
4,1764,1847,3611,102
2,788,832,1620,103
1,70,54,124,104
2,723,759,1482,105
8,2706,2970,5676,106
1,228,261,489,107
4,2226,2303,4529,108
1,125,107,232,109
7,3272,3332,6604,10
1,211,218,429,110
9,5243,5482,10725,111
40,17090,18573,35663,112
2,616,638,1254,113
15,6631,6850,13481,114
2,850,906,1756,115
2,306,273,579,116
2,639,677,1316,117
1,390,369,759,118
1,332,340,672,119
12,3869,3959,7828,11
3,1090,1167,2257,120
44,17037,18993,36030,121
10,4307,4543,8850,122
5,2121,2195,4316,123
7,3186,3335,6521,124
1,46,46,92,125
5,3089,3152,6241,126
4,1676,1734,3410,127
3,1798,1849,3647,128
7,3259,3351,6610,129
2,406,407,813,12
1,296,311,607,130
9,4397,4577,8974,131
1,324,354,678,132
1,456,475,931,133
2,944,967,1911,134
2,521,529,1050,135
1,483,520,1003,136
1,102,111,213,137
5,2941,2997,5938,138
10,5070,5132,10202,139
1,137,126,263,13
15,7155,7558,14713,140
19,9627,10314,19941,141
1,454,492,946,142
4,1686,1777,3463,143
13,6004,6433,12437,144
2,601,618,1219,145
3,1298,1380,2678,146
1,179,186,365,147
2,464,476,940,148
2,429,406,835,149
2,568,592,1160,14
19,8540,9198,17738,150
10,4716,4920,9636,151
3,1230,1234,2464,152
1,163,160,323,153
2,425,452,877,154
2,400,394,794,155
5,1824,1875,3699,156
3,1604,1602,3206,157
2,830,846,1676,158
3,660,656,1316,159
6,2273,2383,4656,15
52,20322,21652,41974,160
2,520,563,1083,161
7,3425,3499,6924,162
3,1246,1277,2523,163
3,916,950,1866,164
3,1522,1557,3079,165
4,1292,1321,2613,166
1,481,527,1008,167
5,2262,2451,4713,168
8,3916,3951,7867,169
3,2013,1983,3996,16
2,647,616,1263,170
15,6393,6944,13337,171
3,1015,1033,2048,172
2,728,721,1449,173
4,1853,1883,3736,174
2,937,1088,2025,175
1,292,275,567,176
3,906,927,1833,177
2,292,239,531,178
1,252,243,495,179
1,247,235,482,17
10,5094,5154,10248,180
6,2156,2290,4446,181
1,91,96,187,182
5,1912,1912,3824,183
3,988,958,1946,184
1,407,382,789,185
43,19090,21121,40211,186
6,2817,2994,5811,187
3,926,951,1877,188
2,1427,1459,2886,189
1,578,529,1107,18
4,1495,1513,3008,190
1,270,282,552,191
2,921,920,1841,192
3,1461,1516,2977,193
37,14919,15944,30863,194
1,460,473,933,195
3,1266,1407,2673,196
1,553,560,1113,197
1,561,607,1168,198
1,496,484,980,199
3,774,869,1643,19
1,268,263,531,200
2,824,872,1696,201
1,226,230,456,202
2,567,570,1137,203
1,352,384,736,204
7,3097,3273,6370,205
13,5487,5597,11084,206
1,188,164,352,207
1,355,335,690,208
1,200,203,403,209
2,689,678,1367,20
3,996,1072,2068,210
2,1187,1207,2394,211
6,3164,3278,6442,212
1,232,234,466,213
1,389,413,802,214
1,440,476,916,215
1,243,244,487,216
1,322,328,650,217
2,1087,1129,2216,218
3,1079,1135,2214,219
1,472,475,947,21
2,751,742,1493,220
15,6700,7486,14186,221
19,9638,10316,19954,222
2,816,846,1662,223
2,558,568,1126,224
15,7313,7507,14820,225
3,961,997,1958,226
1,139,143,282,227
2,930,986,1916,228
2,919,885,1804,22
4,1613,1598,3211,23
15,5843,5969,11812,24
3,1050,1091,2141,25
1,266,287,553,26
3,600,600,1200,27
1,529,492,1021,28
3,1136,1152,2288,29
3,765,792,1557,2
2,621,633,1254,30
6,2705,2624,5329,31
2,1124,1152,2276,32
1,302,303,605,33
12,2708,2830,5538,34
106,38209,41587,79796,35
3,1100,1028,2128,36
3,810,824,1634,37
1,271,252,523,38
2,800,824,1624,39
1,282,292,574,3
4,2008,1939,3947,40
4,1407,1459,2866,41
4,1771,1831,3602,42
3,608,603,1211,43
3,716,709,1425,44
2,475,500,975,45
1,370,394,764,46
8,3205,3144,6349,47
6,2754,2844,5598,48
20,5980,6180,12160,49
2,317,301,618,4
14,5781,5694,11475,50
11,4887,4886,9773,51
8,2399,2377,4776,52
7,2004,2026,4030,53
4,2032,2055,4087,54
100,38112,42190,80302,55
9,2081,2165,4246,56
2,541,546,1087,57
2,972,1026,1998,58
6,3325,3420,6745,59
12,3742,3932,7674,5
2,1073,1071,2144,60
4,1872,1982,3854,61
16,7838,8114,15952,62
2,677,703,1380,63
4,1371,1435,2806,64
3,1607,1625,3232,65
13,5667,6379,12046,66
5,2077,2173,4250,67
4,2090,2152,4242,68
40,12112,12910,25022,69
4,1059,1090,2149,6
27,10061,10989,21050,70
8,4172,4341,8513,71
2,760,781,1541,72
40,15506,16883,32389,73
10,5658,6235,11893,74
6,2574,2744,5318,75
1,413,444,857,76
3,1349,1399,2748,77
2,923,1017,1940,78
9,4160,4187,8347,79
2,660,658,1318,7
3,1209,1213,2422,80
6,2825,2939,5764,81
2,788,784,1572,82
3,1885,1839,3724,83
2,979,1002,1981,84
33,15220,15794,31014,85
6,2797,2937,5734,86
3,1490,1499,2989,87
1,314,332,646,88
3,1997,2005,4002,89
7,3247,3272,6519,8
2,761,777,1538,90
2,867,920,1787,91
1,388,377,765,92
4,1839,1941,3780,93
9,2976,3046,6022,94
43,18634,20128,38762,95
4,1498,1587,3085,96
5,1131,1244,2375,97
4,1962,2078,4040,98
2,1004,1014,2018,99
67,24601,26378,50979,9
