tot_sezio,idpartizione,nlista,nlistamacro,totVoti,totVoti_nona,totVotiLista
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,1,11,9,0,19
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,2,1,0,0,2
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,3,4,0,0,14
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,4,12,19,0,150
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,5,14,34,0,35
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,6,16,250,0,445
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,7,17,0,0,8
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,8,15,6,0,10
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,9,13,16,0,35
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,10,18,31,0,48
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,11,2,1,0,5
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,12,5,247,0,380
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,13,9,98,0,124
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,14,6,327,0,593
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,15,10,13,0,21
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,16,8,20,0,20
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,17,7,24,0,30
4,0,18,3,0,0,6
4,0,18,3,0,0,6
4,0,18,3,0,0,6
4,0,18,3,0,0,6
4,0,18,3,0,0,6
4,0,18,3,0,0,6
4,0,18,3,0,0,6
4,0,18,3,0,0,6
