value,desc
1,ACQUALAGNA
2,APECCHIO
3,BELFORTE ALL'ISAURO
4,BORGO PACE
5,CAGLI
6,CANTIANO
7,CARPEGNA
8,CARTOCETO
9,FANO
10,FERMIGNANO
11,FOSSOMBRONE
12,FRATTE ROSA
13,FRONTINO
14,FRONTONE
15,GABICCE MARE
16,GRADARA
17,ISOLA DEL PIANO
18,LUNANO
19,MACERATA FELTRIA
20,MERCATELLO SUL METAURO
21,MERCATINO CONCA
22,MOMBAROCCIO
23,MONDAVIO
24,MONDOLFO
25,MONTECALVO IN FOGLIA
27,
26,MONTE CERIGNONE
28,MONTECOPIOLO
29,MONTEFELCINO
30,MONTE GRIMANO TERME
31,MONTELABBATE
32,MONTE PORZIO
33,PEGLIO
34,PERGOLA
35,PESARO
36,PETRIANO
37,PIANDIMELETO
38,PIETRARUBBIA
39,PIOBBICO
40,SAN COSTANZO
41,SAN LORENZO IN CAMPO
42,SANT'ANGELO IN VADO
43,SANT'IPPOLITO
44,SASSOFELTRIO
45,SERRA SANT'ABBONDIO
46,TAVOLETO
47,TAVULLIA
48,URBANIA
49,URBINO
50,VALLEFOGLIA
51,COLLI AL METAURO
52,TERRE ROVERESCHE
53,SASSOCORVARO AUDITORE
54,AGUGLIANO
55,ANCONA
56,ARCEVIA
57,BARBARA
58,BELVEDERE OSTRENSE
59,CAMERANO
60,CAMERATA PICENA
61,CASTELBELLINO
62,CASTELFIDARDO
63,CASTELLEONE DI SUASA
64,CASTELPLANIO
65,CERRETO D'ESI
66,CHIARAVALLE
67,CORINALDO
68,CUPRAMONTANA
69,FABRIANO
70,FALCONARA MARITTIMA
71,FILOTTRANO
72,GENGA
73,JESI
74,LORETO
75,MAIOLATI SPONTINI
76,MERGO
77,MONSANO
78,MONTECAROTTO
79,MONTEMARCIANO
80,MONTE ROBERTO
81,MONTE SAN VITO
82,MORRO D'ALBA
83,NUMANA
84,OFFAGNA
85,OSIMO
86,OSTRA
87,OSTRA VETERE
88,POGGIO SAN MARCELLO
89,POLVERIGI
90,ROSORA
91,SAN MARCELLO
92,SAN PAOLO DI JESI
93,SANTA MARIA NUOVA
94,SASSOFERRATO
95,SENIGALLIA
96,SERRA DE' CONTI
97,SERRA SAN QUIRICO
98,SIROLO
99,STAFFOLO
100,TRECASTELLI
101,APIRO
102,APPIGNANO
103,BELFORTE DEL CHIENTI
104,BOLOGNOLA
105,CALDAROLA
106,CAMERINO
107,CAMPOROTONDO DI FIASTRONE
108,CASTELRAIMONDO
109,CASTELSANTANGELO sul Nera
110,CESSAPALOMBO
111,CINGOLI
112,CIVITANOVA MARCHE
113,COLMURANO
114,CORRIDONIA
115,ESANATOGLIA
116,FIASTRA
117,FIUMINATA
118,GAGLIOLE
119,GUALDO
120,LORO PICENO
121,MACERATA
122,MATELICA
123,MOGLIANO
124,MONTECASSIANO
125,MONTE CAVALLO
126,MONTECOSARO
127,MONTEFANO
128,MONTELUPONE
129,MONTE SAN GIUSTO
130,MONTE SAN MARTINO
131,MORROVALLE
132,MUCCIA
133,PENNA SAN GIOVANNI
134,PETRIOLO
135,PIEVE TORINA
136,PIORACO
137,POGGIO SAN VICINO
138,POLLENZA
139,PORTO RECANATI
140,POTENZA PICENA
141,RECANATI
142,RIPE SAN GINESIO
143,SAN GINESIO
144,SAN SEVERINO MARCHE
145,SANT'ANGELO IN PONTANO
146,SARNANO
147,SEFRO
148,SERRAPETRONA
149,SERRAVALLE DI CHIENTI
150,TOLENTINO
151,TREIA
152,URBISAGLIA
153,USSITA
154,VISSO
155,VALFORNACE
156,ACQUASANTA TERME
157,ACQUAVIVA PICENA
158,APPIGNANO DEL TRONTO
159,ARQUATA DEL TRONTO
160,ASCOLI PICENO
161,CARASSAI
162,CASTEL DI LAMA
163,CASTIGNANO
164,CASTORANO
165,COLLI DEL TRONTO
166,COMUNANZA
167,COSSIGNANO
168,CUPRA MARITTIMA
169,FOLIGNANO
170,FORCE
171,GROTTAMMARE
172,MALTIGNANO
173,MASSIGNANO
174,MONSAMPOLO DEL TRONTO
175,MONTALTO DELLE MARCHE
176,MONTEDINOVE
177,MONTEFIORE DELL'ASO
178,MONTEGALLO
179,MONTEMONACO
180,MONTEPRANDONE
181,OFFIDA
182,PALMIANO
183,RIPATRANSONE
184,ROCCAFLUVIONE
185,ROTELLA
186,SAN BENEDETTO DEL TRONTO
187,SPINETOLI
188,VENAROTTA
189,ALTIDONA
190,AMANDOLA
191,BELMONTE PICENO
192,CAMPOFILONE
193,FALERONE
194,FERMO
195,FRANCAVILLA D'ETE
196,GROTTAZZOLINA
197,LAPEDONA
198,MAGLIANO DI TENNA
199,MASSA FERMANA
200,MONSAMPIETRO MORICO
201,MONTAPPONE
202,MONTEFALCONE APPENNINO
203,MONTEFORTINO
204,MONTE GIBERTO
205,MONTEGIORGIO
206,MONTEGRANARO
207,MONTELEONE DI FERMO
208,MONTELPARO
209,MONTE RINALDO
210,MONTERUBBIANO
211,MONTE SAN PIETRANGELI
212,MONTE URANO
213,MONTE VIDON COMBATTE
214,MONTE VIDON CORRADO
215,MONTOTTONE
216,MORESCO
217,ORTEZZANO
218,PEDASO
219,PETRITOLI
220,PONZANO DI FERMO
221,PORTO SAN GIORGIO
222,PORTO SANT'ELPIDIO
223,RAPAGNANO
224,SANTA VITTORIA IN MATENANO
225,SANT'ELPIDIO A MARE
226,SERVIGLIANO
227,SMERILLO
228,TORRE SAN PATRIZIO
